Player,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Geno Smith,2560,7.5,342,233,68.1,11,10,88.6,127,37.1,28,3,71,28,181
Baker Mayfield,2389,7.6,315,225,71.4,23,9,105.6,123,39.0,27,2,55,22,132
Lamar Jackson,2379,9.3,255,174,68.2,20,2,120.7,114,44.7,33,7,59,13,94
Kirk Cousins,2328,7.9,295,204,69.2,17,7,101.9,109,37.0,28,5,52,17,125
Joe Burrow,2244,7.4,302,212,70.2,20,4,108.1,120,39.7,22,7,70,20,117
C.J. Stroud,2139,7.2,296,188,63.5,11,4,91.9,108,36.5,24,4,67,30,229
Aaron Rodgers,2107,6.7,316,197,62.3,15,7,88.4,104,32.9,31,2,57,20,154
Brock Purdy,2101,8.7,242,156,64.5,10,7,93.7,94,38.8,30,8,76,15,67
Trevor Lawrence,2004,7.3,274,168,61.3,11,6,87.9,96,35.0,31,4,85,18,140
Josh Allen,2001,7.6,262,168,64.1,17,2,105.8,93,35.5,30,6,63,11,61
Dak Prescott,1978,6.9,286,185,64.7,11,8,86.0,87,30.4,23,3,65,21,112
Matthew Stafford,1969,7.1,276,182,65.9,9,6,88.6,89,32.2,25,3,63,17,115
Jayden Daniels,1945,8.5,228,163,71.5,9,2,106.7,92,40.4,28,6,66,17,91
Patrick Mahomes,1942,7.2,269,188,69.9,11,9,90.1,105,39.0,21,3,54,16,101
Sam Darnold,1900,8.5,223,155,69.5,17,7,107.8,87,39.0,30,4,97,25,168
Daniel Jones,1880,6.2,304,194,63.8,8,5,83.0,94,30.9,18,2,43,27,157
Jared Goff,1840,8.7,211,158,74.9,14,4,115.0,88,41.7,25,6,70,18,147
Jordan Love,1820,7.6,240,147,61.2,15,10,88.2,81,33.8,25,7,70,7,62
Kyler Murray,1792,7.1,252,169,67.1,11,3,97.2,84,33.3,21,1,60,14,81
Jalen Hurts,1774,8.2,215,150,69.8,10,4,102.4,81,37.7,26,8,67,21,147
Bo Nix,1753,6.0,294,184,62.6,8,6,79.6,76,25.8,28,1,49,15,102
Justin Herbert,1725,7.7,223,145,65.0,10,1,101.6,75,33.6,25,4,66,21,115
Caleb Williams,1665,6.3,264,162,61.4,9,5,83.0,79,29.9,18,4,47,29,208
Gardner Minshew,1501,6.8,221,148,67.0,6,8,80.2,78,35.3,18,2,57,23,138
Derek Carr,1225,7.7,159,108,67.9,9,4,99.2,54,34.0,13,4,70,6,32
Deshaun Watson,1148,5.3,216,137,63.4,5,3,79.0,49,22.7,11,0,35,33,191
Justin Fields,1106,6.9,160,106,66.2,5,1,93.9,45,28.1,15,2,55,16,124
Andy Dalton,989,6.2,160,106,66.2,7,6,82.0,50,31.2,13,0,39,7,37
Anthony Richardson,958,7.2,133,59,44.4,4,7,57.2,34,25.6,14,6,69,9,65
Tua Tagovailoa,948,7.4,128,93,72.7,5,3,96.7,48,37.5,10,2,80,6,39
Joe Flacco,895,6.6,135,87,64.4,7,2,94.5,46,34.1,12,2,65,9,69
Jacoby Brissett,828,5.2,159,94,59.1,2,1,74.6,41,25.8,7,1,50,18,119
Mason Rudolph,806,6.3,128,76,59.4,4,4,75.2,43,33.6,10,1,47,6,38
Drake Maye,770,6.2,125,82,65.6,6,4,85.1,38,30.4,8,1,40,13,95
Will Levis,699,5.6,125,83,66.4,5,7,70.7,34,27.2,9,1,40,15,101
Bryce Young,694,5.4,128,77,60.2,3,6,63.1,32,25.0,9,1,46,10,57
Jameis Winston,652,6.6,99,59,59.6,5,3,83.4,35,35.4,7,0,38,9,37
Spencer Rattler,571,5.8,99,59,59.6,1,2,70.7,23,23.2,7,1,41,14,73
Russell Wilson,542,9.5,57,36,63.2,3,0,111.9,24,42.1,9,2,44,5,23
Aidan O'Connell,455,5.6,82,52,63.4,2,2,76.0,25,30.5,2,0,30,3,28
Malik Willis,380,9.7,39,29,74.4,3,0,130.3,15,38.5,7,1,51,5,16
Tyler Huntley,377,5.7,66,39,59.1,1,1,73.9,19,28.8,3,0,25,7,45
Marcus Mariota,203,7.8,26,19,73.1,2,0,121.2,12,46.2,2,0,25,1,4
Skylar Thompson,187,5.7,33,21,63.6,0,0,78.7,8,24.2,1,0,22,6,44
Jake Haener,177,6.1,29,14,48.3,1,0,79.2,8,27.6,2,0,36,2,16
Cooper Rush,167,4.3,39,22,56.4,1,1,64.8,11,28.2,1,0,22,0,0
Tim Boyle,153,5.9,26,15,57.7,0,0,74.7,7,26.9,1,0,30,1,9
Dorian Thompson-Robinson,82,3.4,24,11,45.8,0,2,19.8,3,12.5,0,0,16,1,3
Davis Mills,79,6.1,13,7,53.8,0,0,72.3,4,30.8,1,0,25,1,7
Desmond Ridder,74,4.6,16,11,68.8,1,0,99.5,4,25.0,1,0,22,4,34
Tyrod Taylor,36,4.5,8,6,75.0,1,0,122.9,3,37.5,0,0,9,0,0
Jaxon Smith-Njigba,35,35.0,1,1,100.0,0,0,118.8,1,100.0,1,0,35,0,0
Courtland Sutton,30,15.0,2,2,100.0,1,0,158.3,2,100.0,1,0,28,0,0
Mac Jones,28,3.1,9,6,66.7,0,0,70.6,1,11.1,0,0,9,2,27
Hendon Hooker,25,5.0,5,3,60.0,0,0,72.9,1,20.0,0,0,19,1,9
Taylor Heinicke,24,12.0,2,2,100.0,0,0,116.7,1,50.0,0,0,18,3,28
Adonai Mitchell,24,24.0,1,1,100.0,0,0,118.8,1,100.0,1,0,24,0,0
Nick Mullens,24,24.0,1,1,100.0,0,0,118.8,1,100.0,1,0,24,0,0
Justin Jefferson,22,22.0,1,1,100.0,0,0,118.8,1,100.0,1,0,22,0,0
Kyle Allen,19,19.0,1,1,100.0,0,0,118.8,1,100.0,0,0,19,0,0
Jack Fox,17,17.0,1,1,100.0,0,0,118.8,1,100.0,0,0,17,0,0
Michael Penix Jr.,14,14.0,1,1,100.0,0,0,118.8,1,100.0,0,0,14,0,0
Stefon Diggs,13,13.0,1,1,100.0,0,0,118.8,1,100.0,0,0,13,0,0
Amon-Ra St. Brown,7,7.0,1,1,100.0,1,0,135.4,1,100.0,0,0,7,0,0
Drew Lock,6,0.8,8,3,37.5,0,0,45.8,0,0.0,0,0,5,1,6
Mitchell Trubisky,5,1.7,3,2,66.7,0,0,70.1,0,0.0,0,0,3,0,0
Riley Dixon,3,3.0,1,1,100.0,0,0,79.2,0,0.0,0,0,3,0,0
Taysom Hill,3,1.5,2,1,50.0,0,0,56.2,0,0.0,0,0,3,0,0
David Montgomery,3,3.0,1,1,100.0,1,0,118.8,1,100.0,0,0,3,0,0
Josh Johnson,1,1.0,1,1,100.0,0,0,79.2,0,0.0,0,0,1,0,0
Bryan Anger,0,0.0,1,0,0.0,0,0,39.6,0,0.0,0,0,0,0,0
Tutu Atwell,0,0.0,1,0,0.0,0,0,39.6,0,0.0,0,0,0,0,0
Ty Chandler,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,1,1
Johnny Hekker,0,0.0,2,0,0.0,0,0,39.6,0,0.0,0,0,0,0,0
Joe Mixon,0,0.0,1,0,0.0,0,0,39.6,0,0.0,0,0,0,0,0
Darnell Mooney,0,0.0,1,0,0.0,0,0,39.6,0,0.0,0,0,0,0,0
Malik Nabers,0,0.0,1,0,0.0,0,0,39.6,0,0.0,0,0,0,0,0
Kenny Pickett,0,0.0,1,0,0.0,0,0,39.6,0,0.0,0,0,0,1,8
Bradley Pinion,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0
Deebo Samuel Sr.,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,1,4
